site,sitetype,plot,Y,X,Z
Sandnes,Natural,6,7124457.809419869445264,540028.572206186014228,0
Sandnes,Natural,5,7124473.176141816191375,539993.167190884589218,0
Sandnes,Natural,4,7124472.502303034067154,539931.579793501878157,0
Sandnes,Natural,3,7124429.494161988608539,539896.716557044186629,0
Sandnes,Natural,2,7124409.24608142580837,539847.694888313184492,0
Sandnes,Natural,1,7124305.722060502506793,539827.675169561291113,0
Sandnes,Cultural,1,7124419.438229615800083,539961.518427540548146,0
Sandnes,Cultural,2,7124416.708144134841859,539959.115580528508872,0
Sandnes,Cultural,3,7124416.418725588358939,539962.677383762435056,0
Sandnes,Cultural,4,7124413.285348168574274,539999.870157800498419,0
Sandnes,Cultural,5,7124396.827784178778529,539995.621809886652045,0
Sandnes,Cultural,6,7124415.390385423786938,539996.770012025488541,0
Iffiartafik,Cultural,1,7148241.545,517025.049,5.35
Iffiartafik,Cultural,2,7148249.081,517049.289,9.165
Iffiartafik,Cultural,3,7148229.814,517057.479,7.227
Iffiartafik,Cultural,4,7148220.86,517061.037,6.654
Iffiartafik,Cultural,5,7148216.21,517055.102,5.802
Iffiartafik,Cultural,6,7148174.571,517084.466,6.455
Iffiartafik,Natural,1,7148165.609,517143.206,6.324
Iffiartafik,Natural,2,7148198.501,517085.936,7.337
Iffiartafik,Natural,3,7148195.705,517104.376,8.597
Iffiartafik,Natural,4,7148176.766,517146.09,9.217
Iffiartafik,Natural,5,7148296.7,517050.625,15.094
Iffiartafik,Natural,6,7148316.596,517012.69,12.178
